	s1	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s2	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s3	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s4	s40	s41	s42	s43	s44	s45	s46	s47	s48	s5	s6	s7	s8	s9	A	B	C	EC	Pathway_Module
K00003	0.19	0.0	0.29	0.0	0.0	0.0	0.27	0.0	0.17	0.17	0.09	0.2503937007874016	0.2570588235294118	0.0	0.0	0.5	0.2	0.0	0.0	0.3162	0.0	0.0	0.33	0.17	0.2675324675324675	0.0	0.2	0.0	0.0	0.15	0.0	0.21514285714285714	0.0	0.0	0.21514285714285714	0.615632183908046	0.25	0.29	0.0	0.2	0.21514285714285714	0.21333333333333332	0.25	0.0	0.21514285714285714	0.0	0.29	0.0	A09100 Metabolism 	B 09105 Amino acid metabolism 	C 00300 Lysine biosynthesis [PATH:ko00300] 	hom; homoserine dehydrogenase [EC:1.1.1.3]	M00018 Threonine biosynthesis, aspartate => homoserine => threonine [PATH:map00260 map01230 map01100 map01110]
K00004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.2551181102362205	0.5682352941176471	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39935064935064934	0.0	0.0	0.0	0.0	0.0	0.0	0.3951428571428572	0.0	0.0	0.3951428571428572	0.0	0.6	0.0	0.0	0.45	0.3951428571428572	0.16	0.6	0.0	0.3951428571428572	0.0	0.0	0.0	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00650 Butanoate metabolism [PATH:ko00650] 	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	
K00005	0.0	0.257719298245614	0.0	0.0	0.0	0.1743243243243243	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.2785714285714286	0.0	0.0	0.0	0.0	0.0	0.0	0.2785714285714286	0.0	0.0	0.0	0.2785714285714286	0.0	0.0	0.0	0.0	0.16200308166409863	0.0	0.0	0.15278350515463918	0.0	0.0	0.0	0.0	0.257719298245614	0.0	0.0	0.0	0.0	0.257719298245614	0.0	0.392	0.0	0.1743243243243243	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00640 Propanoate metabolism [PATH:ko00640] 	gldA; glycerol dehydrogenase [EC:1.1.1.6]	
K00005	0.0	0.257719298245614	0.0	0.0	0.0	0.1743243243243243	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.2785714285714286	0.0	0.0	0.0	0.0	0.0	0.0	0.2785714285714286	0.0	0.0	0.0	0.2785714285714286	0.0	0.0	0.0	0.0	0.16200308166409863	0.0	0.0	0.15278350515463918	0.0	0.0	0.0	0.0	0.257719298245614	0.0	0.0	0.0	0.0	0.257719298245614	0.0	0.392	0.0	0.1743243243243243	A09100 Metabolism 	B 09103 Lipid metabolism 	C 00561 Glycerolipid metabolism [PATH:ko00561] 	gldA; glycerol dehydrogenase [EC:1.1.1.6]	
K00007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00040 Pentose and glucuronate interconversions [PATH:ko00040] 	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	
K00007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00051 Fructose and mannose metabolism [PATH:ko00051] 	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	
K00008	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00040 Pentose and glucuronate interconversions [PATH:ko00040] 	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	M00014 Glucuronate pathway (uronate pathway) [PATH:map00040 map01100]
K00008	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00051 Fructose and mannose metabolism [PATH:ko00051] 	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	M00014 Glucuronate pathway (uronate pathway) [PATH:map00040 map01100]
K00009	0.0	0.16421052631578947	0.0	0.0	0.0	0.15	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.14010785824345148	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.16421052631578947	0.0	0.0	0.0	0.0	0.16421052631578947	0.0	0.14	0.0	0.15	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00051 Fructose and mannose metabolism [PATH:ko00051] 	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	
K00010	0.0	0.0	0.0	0.0	0.0	0.40743243243243243	1.2600000000000002	0.0	0.0	0.0	0.0	0.12480314960629922	0.5141176470588236	0.0	0.7000000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.7000000000000001	0.0	0.0	0.0	0.7000000000000001	0.0	0.0	0.0	0.0	0.0	0.3814285714285714	0.0	0.17690721649484537	0.3814285714285714	0.0	0.0	0.0	0.0	0.0	0.3814285714285714	0.0	0.0	0.0	0.3814285714285714	0.0	0.0	0.40743243243243243	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00562 Inositol phosphate metabolism [PATH:ko00562] 	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	
K00010	0.0	0.0	0.0	0.0	0.0	0.40743243243243243	1.2600000000000002	0.0	0.0	0.0	0.0	0.12480314960629922	0.5141176470588236	0.0	0.7000000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.7000000000000001	0.0	0.0	0.0	0.7000000000000001	0.0	0.0	0.0	0.0	0.0	0.3814285714285714	0.0	0.17690721649484537	0.3814285714285714	0.0	0.0	0.0	0.0	0.0	0.3814285714285714	0.0	0.0	0.0	0.3814285714285714	0.0	0.0	0.40743243243243243	A09100 Metabolism 	B 09110 Biosynthesis of other secondary metabolites 	C 00521 Streptomycin biosynthesis [PATH:ko00521] 	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	
K00012	0.23384615384615387	0.13	0.377	0.0	0.0	0.15	0.27	0.15	0.0	0.0	0.0	0.15183727034120736	0.4194117647058824	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.42829787234042555	0.0	0.17857142857142858	0.15	0.4	0.5	0.4	0.5499999999999999	0.14	0.2967142857142857	0.16	0.13	0.2967142857142857	0.5319540229885058	0.0	0.377	0.13	0.0	0.2967142857142857	0.08444444444444445	0.0	0.13	0.2967142857142857	0.14	0.377	0.15	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00040 Pentose and glucuronate interconversions [PATH:ko00040] 	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	M00014 Glucuronate pathway (uronate pathway) [PATH:map00040 map01100]
K00012	0.23384615384615387	0.13	0.377	0.0	0.0	0.15	0.27	0.15	0.0	0.0	0.0	0.15183727034120736	0.4194117647058824	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.42829787234042555	0.0	0.17857142857142858	0.15	0.4	0.5	0.4	0.5499999999999999	0.14	0.2967142857142857	0.16	0.13	0.2967142857142857	0.5319540229885058	0.0	0.377	0.13	0.0	0.2967142857142857	0.08444444444444445	0.0	0.13	0.2967142857142857	0.14	0.377	0.15	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00053 Ascorbate and aldarate metabolism [PATH:ko00053] 	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	M00014 Glucuronate pathway (uronate pathway) [PATH:map00040 map01100]
K00012	0.23384615384615387	0.13	0.377	0.0	0.0	0.15	0.27	0.15	0.0	0.0	0.0	0.15183727034120736	0.4194117647058824	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.42829787234042555	0.0	0.17857142857142858	0.15	0.4	0.5	0.4	0.5499999999999999	0.14	0.2967142857142857	0.16	0.13	0.2967142857142857	0.5319540229885058	0.0	0.377	0.13	0.0	0.2967142857142857	0.08444444444444445	0.0	0.13	0.2967142857142857	0.14	0.377	0.15	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520] 	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	M00014 Glucuronate pathway (uronate pathway) [PATH:map00040 map01100]
K00013	0.19	0.13	0.29	0.0	0.0	0.1804054054054054	0.27	0.15	0.17	0.17	0.1	0.10118110236220473	0.3517647058823529	0.0	0.16428571428571428	0.5	0.22222222222222224	0.2	0.0	0.31	0.0	0.16428571428571428	0.33	0.17	0.15	0.16428571428571428	0.2	0.45	0.4	0.15	0.14	0.18	0.18133333333333332	0.13469072164948456	0.18	0.52	0.25	0.29	0.13	0.2	0.18	0.08	0.25	0.13	0.18	0.28	0.29	0.1804054054054054	A09100 Metabolism 	B 09105 Amino acid metabolism 	C 00340 Histidine metabolism [PATH:ko00340] 	hisD; histidinol dehydrogenase [EC:1.1.1.23]	M00026 Histidine biosynthesis, PRPP => histidine [PATH:map00340 map01230 map01100 map01110]
K00014	0.20461538461538462	0.2143859649122807	0.29	0.0	0.0	0.22499999999999998	0.6300000000000001	0.24	0.1701503094606543	0.1701503094606543	0.11	0.11049868766404201	0.48705882352941177	0.0	0.21785714285714283	0.5	0.6444444444444445	0.2	0.0	0.33480000000000004	0.0	0.21785714285714283	0.49148936170212765	0.1701503094606543	0.15454545454545454	0.21785714285714283	0.2	0.45	0.4	0.15	0.27870570107858245	0.5068571428571429	0.21333333333333332	0.1413917525773196	0.5068571428571429	0.8367816091954023	0.25	0.29	0.2143859649122807	0.2	0.5068571428571429	0.08	0.25	0.2143859649122807	0.5068571428571429	0.28	0.29	0.22499999999999998	A09100 Metabolism 	B 09105 Amino acid metabolism 	C 00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400] 	aroE; shikimate dehydrogenase [EC:1.1.1.25]	M00022 Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate [PATH:map00400 map01230 map01100 map01110 map01130]
K00015	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.09	0.0	0.23	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630] 	gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]	
K00016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.24895013123359583	0.0	0.0	0.0	0.0	0.3111111111111111	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.75	0.0	0.0	0.25	0.0	0.0	0.14	0.0	0.0	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00010 Glycolysis / Gluconeogenesis [PATH:ko00010] 	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	
K00016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.24895013123359583	0.0	0.0	0.0	0.0	0.3111111111111111	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.75	0.0	0.0	0.25	0.0	0.0	0.14	0.0	0.0	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00620 Pyruvate metabolism [PATH:ko00620] 	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	
K00016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.24895013123359583	0.0	0.0	0.0	0.0	0.3111111111111111	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.75	0.0	0.0	0.25	0.0	0.0	0.14	0.0	0.0	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00640 Propanoate metabolism [PATH:ko00640] 	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	
K00016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.24895013123359583	0.0	0.0	0.0	0.0	0.3111111111111111	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.75	0.0	0.0	0.25	0.0	0.0	0.14	0.0	0.0	A09100 Metabolism 	B 09105 Amino acid metabolism 	C 00270 Cysteine and methionine metabolism [PATH:ko00270] 	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	
K00016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.24895013123359583	0.0	0.0	0.0	0.0	0.3111111111111111	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.75	0.0	0.0	0.25	0.0	0.0	0.14	0.0	0.0	A09150 Organismal Systems 	B 09152 Endocrine system 	C 04922 Glucagon signaling pathway [PATH:ko04922] 	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	
K00016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.24895013123359583	0.0	0.0	0.0	0.0	0.3111111111111111	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.75	0.0	0.0	0.25	0.0	0.0	0.14	0.0	0.0	A09180 Brite Hierarchies 	B 09183 Protein families: signaling and cellular processes 	C 04147 Exosome [BR:ko04147] 	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	
K00018	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.2	0.0	0.31	0.0	0.15	0.0	0.0	0.0	0.15	0.2	0.0	0.0	0.15	0.0	0.18	0.0	0.0	0.18	0.0	0.25	0.0	0.0	0.0	0.18	0.0	0.25	0.0	0.18	0.0	0.0	0.0	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630] 	hprA; glycerate dehydrogenase [EC:1.1.1.29]	M00346 Formaldehyde assimilation, serine pathway [PATH:map00680 map01200 map01120]
K00018	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.2	0.0	0.31	0.0	0.15	0.0	0.0	0.0	0.15	0.2	0.0	0.0	0.15	0.0	0.18	0.0	0.0	0.18	0.0	0.25	0.0	0.0	0.0	0.18	0.0	0.25	0.0	0.18	0.0	0.0	0.0	A09100 Metabolism 	B 09102 Energy metabolism 	C 00680 Methane metabolism [PATH:ko00680] 	hprA; glycerate dehydrogenase [EC:1.1.1.29]	M00346 Formaldehyde assimilation, serine pathway [PATH:map00680 map01200 map01120]
K00018	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.2	0.0	0.31	0.0	0.15	0.0	0.0	0.0	0.15	0.2	0.0	0.0	0.15	0.0	0.18	0.0	0.0	0.18	0.0	0.25	0.0	0.0	0.0	0.18	0.0	0.25	0.0	0.18	0.0	0.0	0.0	A09100 Metabolism 	B 09105 Amino acid metabolism 	C 00260 Glycine, serine and threonine metabolism [PATH:ko00260] 	hprA; glycerate dehydrogenase [EC:1.1.1.29]	M00346 Formaldehyde assimilation, serine pathway [PATH:map00680 map01200 map01120]
K00019	0.0	0.13	0.29	0.0	0.0	0.15	0.27	0.0	0.0	0.0	0.1	0.1	0.29764705882352943	0.0	0.0	0.0	0.3111111111111111	0.2	0.0	0.31	0.0	0.0	0.33	0.0	0.15	0.0	0.2	0.0	0.0	0.15	0.0	0.18	0.0	0.0	0.18	0.52	0.0	0.29	0.13	0.0	0.18	0.08	0.0	0.13	0.18	0.0	0.29	0.15	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00650 Butanoate metabolism [PATH:ko00650] 	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	M00088 Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone [PATH:map00072 map01100]
K00019	0.0	0.13	0.29	0.0	0.0	0.15	0.27	0.0	0.0	0.0	0.1	0.1	0.29764705882352943	0.0	0.0	0.0	0.3111111111111111	0.2	0.0	0.31	0.0	0.0	0.33	0.0	0.15	0.0	0.2	0.0	0.0	0.15	0.0	0.18	0.0	0.0	0.18	0.52	0.0	0.29	0.13	0.0	0.18	0.08	0.0	0.13	0.18	0.0	0.29	0.15	A09100 Metabolism 	B 09103 Lipid metabolism 	C 00072 Synthesis and degradation of ketone bodies [PATH:ko00072] 	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	M00088 Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone [PATH:map00072 map01100]
K00020	0.19	0.0	0.29	0.0	0.0	0.0	0.81	0.0	0.0	0.0	0.13	0.13517060367454067	0.7305882352941176	0.0	0.15	0.0	0.6444444444444445	0.3055555555555556	0.0	0.5456	0.0	0.15	0.8495744680851064	0.0	0.23506493506493506	0.15	0.30000000000000004	0.0	0.0	0.7000000000000001	0.0	0.44771428571428573	0.0	0.0	0.44771428571428573	0.5797701149425288	0.25	0.29	0.0	0.2	0.44771428571428573	0.2	0.25	0.0	0.44771428571428573	0.14	0.29	0.0	A09100 Metabolism 	B 09105 Amino acid metabolism 	C 00280 Valine, leucine and isoleucine degradation [PATH:ko00280] 	mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	
K00021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	A09100 Metabolism 	B 09109 Metabolism of terpenoids and polyketides 	C 00900 Terpenoid backbone biosynthesis [PATH:ko00900] 	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	M00095 C5 isoprenoid biosynthesis, mevalonate pathway [PATH:map00900 map01100 map01110]
