"1- and 2-Methylnaphthalene degradation","Aminophosphonate metabolism","Amyotrophic lateral sclerosis (ALS)","Androgen and estrogen metabolism","Antigen processing and presentation","Apoptosis","Biosynthesis of ansamycins","Biosynthesis of vancomycin group antibiotics","Biotin metabolism","Bisphenol A degradation","Caprolactam degradation","Cyanoamino acid metabolism","Cytokine-cytokine receptor interaction","D-Alanine metabolism","D-Arginine and D-ornithine metabolism","Epithelial cell signaling in Helicobacter pylori infection","Fluorobenzoate degradation","Folate biosynthesis","Inositol metabolism","Insulin signaling pathway","Linoleic acid metabolism","Lipoic acid metabolism","N-Glycan biosynthesis","Neuroactive ligand-receptor interaction","Nucleotide excision repair","Penicillin and cephalosporin biosynthesis","Polyketide sugar unit biosynthesis","Prostate cancer","Protein export","Regulation of actin cytoskeleton","Riboflavin metabolism","Streptomycin biosynthesis","Synthesis and degradation of ketone bodies","Terpenoid biosynthesis","Tetrachloroethene degradation","Tetracycline biosynthesis","Type IV secretion system","Ubiquitin mediated proteolysis","Zeatin biosynthesis","beta-Lactam resistance","interaction"
0,0,0,0,-0.3994,0,0.27,-0.1674,-0.15,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0.14,-0.3422,0,0,-0.29,-0.15,0,0.14,0,0.14,0,-0.29,0.14,0,-0.15,-0.3132,0,-0.15,0,-1.88154344280668
0,-0.15,0,0,-0.00999999999999998,0,0.0106756760000001,-0.082972973,-0.00999999999999998,-0.15,0,0,0,0,0.14,0,0,-0.00999999999999998,0,0,0,-0.00999999999999998,0,0,0,0,-0.00999999999999998,0,-0.00999999999999998,0,0.14,-0.15,0,0.14,0,-0.00999999999999998,0,0,-0.00999999999999998,0,-0.753413745896637
0,0,0,0,0.3994,0,-0.27,0.1674,0.15,0,0,0,0,0,-0.14,0,0,-0.14,0,0,0,-0.14,0.3422,0,0,0.29,0.15,0,-0.14,0,-0.14,0,0.29,-0.14,0,0.15,0.3132,0,0.15,0,3.8197034517275
0,-0.15,0,0,0.3894,0,-0.259324324,0.084427027,0.14,-0.15,0,0,0,0,0,0,0,-0.15,0,0,0,-0.15,0.3422,0,0,0.29,0.14,0,-0.15,0,0,-0.15,0.29,0,0,0.14,0.3132,0,0.14,0,-1.17748286035969
0,0.15,0,0,0.00999999999999998,0,-0.0106756760000001,0.082972973,0.00999999999999998,0.15,0,0,0,0,-0.14,0,0,0.00999999999999998,0,0,0,0.00999999999999998,0,0,0,0,0.00999999999999998,0,0.00999999999999998,0,-0.14,0.15,0,-0.14,0,0.00999999999999998,0,0,0.00999999999999998,0,3.19078520347854
0,0.15,0,0,-0.3894,0,0.259324324,-0.084427027,-0.14,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,-0.3422,0,0,-0.29,-0.14,0,0.15,0,0,0.15,-0.29,0,0,-0.14,-0.3132,0,-0.14,0,2.78260061403159
0,0,0,0,-0.4094,0,0.218596491,-0.152312281,-0.16,0,0,0,0,0,0,0.145964912,0,0.13,0,0,0,0.13,-0.3422,0,0,-0.29,-0.29,0,0.13,0,0.13,0,-0.29,0.13,0,-0.16,-0.3132,0,-0.16,0,-1.20981067899181
0,0,0,0,0.13,0,0.508596491,0.155087719,0.13,0,0,0,0,0,0,0.145964912,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0.13,0,-4.73755392937005
0,0,0,0,0.4094,0,-0.218596491,0.152312281,0.16,0,0,0,0,0,0,-0.145964912,0,-0.13,0,0,0,-0.13,0.3422,0,0,0.29,0.29,0,-0.13,0,-0.13,0,0.29,-0.13,0,0.16,0.3132,0,0.16,0,3.3815453915692
0,0,0,0,0.5394,0,0.29,0.3074,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3422,0,0,0.29,0.29,0,0,0,0,0,0.29,0,0,0.29,0.3132,0,0.29,0,1.48037583306483
0,0,0,0,-0.13,0,-0.508596491,-0.155087719,-0.13,0,0,0,0,0,0,-0.145964912,0,-0.13,0,0,0,-0.13,0,0,0,0,0,0,-0.13,0,-0.13,0,0,-0.13,0,-0.13,0,0,-0.13,0,2.74065564508312
0,0,0,0,-0.5394,0,-0.29,-0.3074,-0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3422,0,0,-0.29,-0.29,0,0,0,0,0,-0.29,0,0,-0.29,-0.3132,0,-0.29,0,4.27638795706492
0,-0.15,0,0,-0.15,0,-0.549324324,-0.222972973,-0.15,-0.15,0,0,0,0,0,0,0,-0.15,0,0,0,-0.15,0,0,0,0,-0.15,0,-0.15,0,0,-0.15,0,0,0,-0.15,0,0,-0.15,0,0.821940205653908
0,0,0,0,0,0,-0.63,-0.45,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.27,0,-0.45,0,0,0,0,-0.27,-0.27,0,0,-0.27,-0.36,0,-0.27,0,-5.21794474467653
0,0.15,0,0,0.15,0,0.549324324,0.222972973,0.15,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0.15,0,0,0.15,0,2.98160228282147
0,0.15,0,0,0.15,0,-0.080675676,-0.227027027,0.15,0.15,0,0,0,0,-0.45,0,0,0.15,0,0,0,0.15,0,0,-0.27,0,-0.3,0,0.15,0,0,-0.12,-0.27,0,0,-0.12,-0.36,0,-0.12,0,2.17619931822588
0,0,0,0,0,0,0.63,0.45,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0.27,0,0.45,0,0,0,0,0.27,0.27,0,0,0.27,0.36,0,0.27,0,2.10799623986764
0,-0.15,0,0,-0.15,0,0.080675676,0.227027027,-0.15,-0.15,0,0,0,0,0.45,0,0,-0.15,0,0,0,-0.15,0,0,0.27,0,0.3,0,-0.15,0,0,0.12,0.27,0,0,0.12,0.36,0,0.12,0,6.35580176558388
0,0,0,0,0.15,0,0.545641026,0.15,-0.02,0,0,0.15,0,0.15,-0.020751547,-0.17,0,0.15,0,0,0,0.15,0,0,0,0,0.15,-0.17,0.15,0,0.15,0,0,0.15,0.15,-0.02,0,0,-0.02,0,-0.578053262852952
0,0,0,0,0.15,0,0.545641026,0.15,-0.02,0,0,0.15,0,0.15,-0.020751547,-0.17,0,0.15,0,0,0,0.15,0,0,0,0,0.15,-0.17,0.15,0,0.15,0,0,0.15,0.15,-0.02,0,0,-0.02,0,-0.361770693900407
0,0,0,0,-0.15,0,-0.545641026,-0.15,0.02,0,0,-0.15,0,-0.15,0.020751547,0.17,0,-0.15,0,0,0,-0.15,0,0,0,0,-0.15,0.17,-0.15,0,-0.15,0,0,-0.15,-0.15,0.02,0,0,0.02,0,2.67878703626501
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.89107481541476
0,0,0,0,-0.15,0,-0.545641026,-0.15,0.02,0,0,-0.15,0,-0.15,0.020751547,0.17,0,-0.15,0,0,0,-0.15,0,0,0,0,-0.15,0.17,-0.15,0,-0.15,0,0,-0.15,-0.15,0.02,0,0,0.02,0,2.03989302493228
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83069882313876
-0.23,0.09,0.09,0,0,0,-0.404705882,-0.305882353,-0.23,0,0,0,0,0.09,-0.37,-0.23,0,0.09,0,0,0,-0.23,0,0,-0.23,-0.23,-0.23,0,0,0,0,-0.23,0.1,0,0,-0.09,-0.446470588,0,-0.14,0,1.50337173272694
0,0.09,0.09,0,0,0,0.15,0.1,0,0,0,0,0,0.09,0.09,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.14,0,0,0.09,0,-5.23752530291201
0.23,-0.09,-0.09,0,0,0,0.404705882,0.305882353,0.23,0,0,0,0,-0.09,0.37,0.23,0,-0.09,0,0,0,0.23,0,0,0.23,0.23,0.23,0,0,0,0,0.23,-0.1,0,0,0.09,0.446470588,0,0.14,0,0.502238632603277
0.23,0,0,0,0,0,0.554705882,0.405882353,0.23,0,0,0,0,0,0.46,0.23,0,0,0,0,0,0.23,0,0,0.23,0.23,0.23,0,0,0,0,0.23,0,0,0,0.23,0.446470588,0,0.23,0,2.45986785120677
0,-0.09,-0.09,0,0,0,-0.15,-0.1,0,0,0,0,0,-0.09,-0.09,0,0,-0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,-0.14,0,0,-0.09,0,1.48281883942448
-0.23,0,0,0,0,0,-0.554705882,-0.405882353,-0.23,0,0,0,0,0,-0.46,-0.23,0,0,0,0,0,-0.23,0,0,-0.23,-0.23,-0.23,0,0,0,0,-0.23,0,0,0,-0.23,-0.446470588,0,-0.23,0,6.1991543253503
0,0,0,0,-0.342857143,0,-0.310714286,0.189285714,0.15,0,0,0,0,0,0,0,0,0.15,0.15,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0,0,0.15,0,-0.35,0,0,-0.35,0,1.39073745256042
0,0,0,0,-0.042857143,0,0.311507936,-0.010714286,0.15,0,-0.2,0,0,0,-0.2,0,-0.2,0.15,0.15,0,0,-0.05,-0.4,0,0,0,-0.05,0,0.15,0,0,0,-0.2,0.15,0,-0.05,0,0,-0.05,0,3.09185673104869
0,0,0,0,0.342857143,0,0.310714286,-0.189285714,-0.15,0,0,0,0,0,0,0,0,-0.15,-0.15,0,0,-0.15,0,0,0,0,-0.15,0,-0.15,0,0,0,0,-0.15,0,0.35,0,0,0.35,0,0.656583973412016
0,0,0,0,0.3,0,0.622222222,-0.2,0,0,-0.2,0,0,0,-0.2,0,-0.2,0,0,0,0,-0.2,-0.4,0,0,0,-0.2,0,0,0,0,0,-0.2,0,0,0.3,0,0,0.3,0,-20.6955878354236
0,0,0,0,0.042857143,0,-0.311507936,0.010714286,-0.15,0,0.2,0,0,0,0.2,0,0.2,-0.15,-0.15,0,0,0.05,0.4,0,0,0,0.05,0,-0.15,0,0,0,0.2,-0.15,0,0.05,0,0,0.05,0,3.25127630509022
0,0,0,0,-0.3,0,-0.622222222,0.2,0,0,0.2,0,0,0,0.2,0,0.2,0,0,0,0,0.2,0.4,0,0,0,0.2,0,0,0,0,0,0.2,0,0,-0.3,0,0,-0.3,0,2.40662415494373
