Type	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48
AIR-Biosynthesis	0.19	0.10026246719160106	0.0	0.13	0.13	0.18	0.14	0.29	0.15	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.0	0.0	0.09	0.23	0.0	0.15	0.0	0.2	0.2	0.0	0.0	0.0	0.15	0.0	0.0	0.15	0.2	0.45	0.0	0.0	0.14	0.18	0.16	0.18	0.0	0.25	0.29	0.13	0.2	0.18	0.08	0.25
ALANINE-DEG	0.095	0.0986220472440945	0.1720212765957447	0.12899484536082476	0.16307017543859648	0.20642857142857143	0.14	0.145	0.18648648648648647	0.16307017543859648	0.145	0.0	0.0	0.18648648648648647	0.18	0.15	0.16173297966401415	0.16173297966401415	0.045	0.12176470588235294	0.0	0.075	0.25	0.1	0.10277777777777777	0.0	0.155	0.0	0.075	0.16173297966401415	0.0	0.075	0.1	0.225	0.2	0.075	0.19570878274268105	0.20642857142857143	0.09066666666666666	0.20642857142857143	0.8218390804597702	0.325	0.145	0.16307017543859648	0.1	0.20642857142857143	0.09555555555555556	0.325
ALANINE-SYN	0.0	0.0	0.33	0.13	0.13	0.18	0.14	0.29	0.16013513513513514	0.13	0.29	0.0	0.0	0.16013513513513514	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.2	0.0	0.31	0.0	0.15	0.0	0.0	0.15	0.2	0.0	0.0	0.15	0.14	0.18	0.18133333333333332	0.18	0.5259770114942529	0.0	0.29	0.13	0.2	0.18	0.0	0.0
ALKALOIDS	0.4530769230769231	0.1	0.0	0.326340206185567	0.1436842105263158	0.3152857142857143	0.5040000000000001	0.0	0.20675675675675673	0.1436842105263158	0.0	0.0	0.0	0.20675675675675673	0.54	0.44999999999999996	0.0	0.0	0.0	0.0	0.0	0.2357142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.2357142857142857	0.0	0.0	0.2357142857142857	0.0	1.0	0.0	0.0	0.14	0.3152857142857143	0.24533333333333335	0.3152857142857143	0.0	0.25	0.0	0.1436842105263158	0.0	0.3152857142857143	0.0	0.25
AMINE-DEG	0.0	0.0	0.0	0.0	0.043333333333333335	0.0	0.0	0.0	0.0	0.043333333333333335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.04666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.043333333333333335	0.0	0.0	0.0	0.0
ANAEROBIC-RESPIRATION	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGININE-DEG	0.06333333333333334	0.03829833770778653	0.18606382978723404	0.043333333333333335	0.043333333333333335	0.12528571428571425	0.04666666666666667	0.04833333333333333	0.049999999999999996	0.043333333333333335	0.04833333333333333	0.0	0.0	0.049999999999999996	0.165	0.065	0.0	0.0	0.015	0.10823529411764708	0.0	0.05178571428571429	0.0	0.15555555555555556	0.03333333333333333	0.0	0.12193333333333332	0.0	0.05178571428571429	0.0	0.05173160173160173	0.05178571428571429	0.10000000000000002	0.15	0.06666666666666667	0.0	0.04666666666666667	0.12528571428571425	0.05333333333333334	0.12528571428571425	0.13946360153256707	0.0	0.04833333333333333	0.043333333333333335	0.03333333333333333	0.12528571428571425	0.0325925925925926	0.0
ARGININE-SYN	0.0	0.03333333333333333	0.0	0.08666666666666667	0.08666666666666667	0.18000000000000002	0.09333333333333334	0.0	0.09999999999999999	0.08666666666666667	0.0	0.0	0.0	0.09999999999999999	0.27	0.0	0.0	0.0	0.03	0.0	0.0	0.09999999999999999	0.0	0.20000000000000004	0.0	0.0	0.0	0.0	0.09999999999999999	0.0	0.0	0.09999999999999999	0.20000000000000004	0.0	0.0	0.0	0.09333333333333334	0.18000000000000002	0.10666666666666667	0.18000000000000002	0.0	0.08333333333333333	0.0	0.08666666666666667	0.06666666666666667	0.18000000000000002	0.0	0.08333333333333333
AROMATIC-COMPOUNDS-BIOSYN	0.0	0.1	0.0	0.13	0.13	0.0	0.0	0.29	0.15	0.13	0.29	0.0	0.0	0.15	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.2	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.29	0.13	0.0	0.0	0.0	0.0
AROMATIC-COMPOUNDS-DEGRADATION	0.021111111111111112	0.0	0.03666666666666667	0.02888888888888889	0.014444444444444446	0.02	0.015555555555555557	0.03222222222222222	0.03333333333333333	0.014444444444444446	0.03222222222222222	0.0	0.0	0.03333333333333333	0.030000000000000002	0.016666666666666666	0.0	0.0	0.0	0.025555555555555557	0.0	0.016666666666666666	0.05555555555555555	0.07901234567901233	0.0	0.0	0.0	0.0	0.016666666666666666	0.0	0.016666666666666666	0.016666666666666666	0.06666666666666668	0.0	0.0	0.0	0.015555555555555557	0.02	0.017777777777777778	0.02	0.05777777777777778	0.0	0.03222222222222222	0.014444444444444446	0.0	0.02	0.0	0.0
Acetate-Formation	0.0	0.0	0.0	0.13	0.13	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0
Acetoin-Biosynthesis	0.0	0.03333333333333333	0.11	0.08733676975945016	0.0	0.06	0.10266666666666668	0.0	0.09999999999999999	0.0	0.0	0.0	0.0	0.09999999999999999	0.12	0.11	0.05666666666666667	0.05666666666666667	0.04	0.07666666666666667	0.0	0.12857142857142856	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.12857142857142856	0.05666666666666667	0.09999999999999999	0.12857142857142856	0.06666666666666667	0.0	0.0	0.049999999999999996	0.0	0.06	0.05333333333333334	0.06	0.0	0.26666666666666666	0.0	0.0	0.13333333333333333	0.06	0.02666666666666667	0.26666666666666666
Acetyl-CoA-Butyrate	0.095	0.0	0.165	0.0	0.0	0.09	0.0	0.145	0.0	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.115	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07662337662337662	0.0	0.1	0.0	0.0	0.075	0.0	0.09	0.0	0.09	0.0	0.0	0.145	0.0	0.0	0.09	0.04	0.0
Acetylmuramoyl-Pentapeptide-Biosynthesis	0.19000000000000003	0.10000000000000002	0.0	0.13	0.13	0.18000000000000002	0.14	0.09666666666666666	0.15	0.13	0.09666666666666666	0.0	0.0	0.15	0.27	0.15	0.05666666666666667	0.05666666666666667	0.09000000000000001	0.23	0.0	0.15	0.0	0.06666666666666667	0.06666666666666667	0.0	0.31	0.0	0.15	0.05666666666666667	0.0	0.15	0.06666666666666667	0.45	0.0	0.15	0.14	0.18000000000000002	0.16	0.18000000000000002	0.0	0.25	0.09666666666666666	0.13	0.20000000000000004	0.18000000000000002	0.08	0.25
Acrylonitrile-Degradation	0.0	0.22979002624671918	1.1163829787234043	0.0	0.0	0.5717142857142856	0.0	0.29	0.0	0.0	0.29	0.0	0.0	0.0	0.6300000000000001	0.24	0.0	0.0	0.09	0.6494117647058825	0.0	0.0	0.0	0.7333333333333334	0.2	0.0	0.7315999999999999	0.0	0.0	0.0	0.1603896103896104	0.0	0.2	0.45	0.4	0.0	0.0	0.5717142857142856	0.0	0.5717142857142856	0.8367816091954023	0.0	0.29	0.0	0.2	0.5717142857142856	0.19555555555555557	0.0
Adenine-Adenosine-Salvage	0.076	0.020419947506561682	0.0	0.07826804123711341	0.078	0.03657142857142857	0.11200000000000002	0.0	0.09	0.078	0.0	0.0	0.0	0.09	0.21600000000000003	0.09	0.0	0.0	0.036	0.0	0.0	0.09	0.0	0.04	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.09	0.04	0.18	0.0	0.0	0.084	0.03657142857142857	0.128	0.03657142857142857	0.0	0.05	0.0	0.078	0.04	0.03657142857142857	0.019555555555555555	0.05
Adenosine-Deoxy-Denovo-Bbiosynthesis	0.19	0.10170603674540682	0.33	0.1306701030927835	0.13	0.18	0.14	0.29	0.15	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.1703006189213086	0.1703006189213086	0.09	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.1703006189213086	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.18	0.52	0.25	0.29	0.13	0.0	0.18	0.08	0.25
Adenosine-Nucleotides-Degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adenosylcobamide-Biosynthesis	0.0	0.0	0.33	0.0	0.12999999999999998	0.17999999999999997	0.14000000000000004	0.0	0.0	0.12999999999999998	0.0	0.0	0.0	0.0	0.0	0.14999999999999997	0.0	0.0	0.08999999999999998	0.0	0.0	0.0	0.0	0.19999999999999998	0.0	0.0	0.31	0.0	0.0	0.0	0.14999999999999997	0.0	0.19999999999999998	0.0	0.0	0.0	0.14000000000000004	0.17999999999999997	0.0	0.17999999999999997	0.0	0.0	0.0	0.12999999999999998	0.0	0.17999999999999997	0.07999999999999999	0.0
Alcohol-Biosynthesis	0.0	0.1	0.0	0.0	0.0	0.18499999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.23	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.15	0.15	0.2	0.0	0.0	0.15	0.0	0.18499999999999997	0.0	0.18499999999999997	0.0	0.0	0.0	0.0	0.0	0.18499999999999997	0.08	0.0
Alkanes-Biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.14	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
All-Trans-Farnesyl-PP-Biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15357142857142855	0.0	0.0	0.0	0.0	0.0	0.0	0.15357142857142855	0.0	0.0	0.15357142857142855	0.2	0.0	0.0	0.0	0.14	0.0	0.18133333333333332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Allantoin-degradation	0.0	0.0	0.0	0.065	0.0	0.0	0.098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.075	0.0	0.0	0.0	0.0	0.0	0.075	0.0	0.1	0.0	0.0	0.0	0.0	0.075	0.0	0.075	0.075	0.0	0.0	0.0	0.0	0.07	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aminoacyl-tRNAs-Charging	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0
Aminopropanol-Phosphate-Biosynthesis	0.0	0.0	0.0	0.065	0.065	0.0	0.07	0.0	0.075	0.065	0.0	0.0	0.0	0.075	0.0	0.075	0.0	0.0	0.0	0.0	0.0	0.075	0.0	0.0	0.1	0.0	0.0	0.0	0.075	0.0	0.0	0.075	0.1	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.065	0.0	0.0	0.0	0.0
Ammonia-Assimilation	0.23384615384615387	0.10708661417322836	0.0	0.1320103092783505	0.13	1.2277142857142855	0.14	0.5683999999999999	0.15	0.13	0.5683999999999999	0.0	0.0	0.15	1.62	0.15	0.18007073386383735	0.18007073386383735	0.16999999999999998	0.9470588235294117	0.0	0.1714285714285714	0.0	0.24444444444444446	0.2	0.0	0.775	0.0	0.1714285714285714	0.18007073386383735	0.0	0.1714285714285714	0.9	0.9	0.0	0.5	0.14	1.2277142857142855	0.17066666666666666	1.2277142857142855	0.0	0.25	0.5683999999999999	0.13	0.2	1.2277142857142855	0.1688888888888889	0.25
Anhydromuropeptides-Recycling	0.095	0.0	0.0	0.13033505154639174	0.13	0.09	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.14	0.09	0.16	0.09	0.0	0.0	0.0	0.13	0.0	0.09	0.0	0.0
Antibiotic-Biosynthesis	0.18634615384615383	0.12706692913385828	0.154468085106383	0.1718814432989691	0.1625	0.23467857142857143	0.16800000000000004	0.28419999999999995	0.2209459459459459	0.1625	0.28419999999999995	0.0	0.0	0.2209459459459459	0.47250000000000003	0.27	0.0425	0.0425	0.1425	0.2908823529411765	0.0	0.1669642857142857	0.125	0.37222222222222223	0.13333333333333333	0.0	0.0	0.0	0.1669642857142857	0.0425	0.0375	0.1669642857142857	0.15000000000000002	0.5625	0.0	0.0	0.13983821263482282	0.23467857142857143	0.168	0.23467857142857143	0.2405747126436782	0.2625	0.28419999999999995	0.1625	0.2	0.23467857142857143	0.11555555555555556	0.2625
Antibiotic-Resistance	0.19	0.11141732283464567	0.33702127659574466	0.1929896907216495	0.24175438596491228	0.2304285714285714	0.14	0.2958	0.17635135135135135	0.24175438596491228	0.2958	0.0	0.0	0.17635135135135135	0.6300000000000001	0.36	0.18698496905393458	0.18698496905393458	0.18	0.48705882352941177	0.0	0.1714285714285714	1.0	0.5777777777777778	0.2	0.0	0.3596	0.0	0.1714285714285714	0.18698496905393458	0.15	0.1714285714285714	0.4	1.2	1.1	0.19999999999999998	0.15067796610169493	0.2304285714285714	0.18133333333333332	0.2304285714285714	0.0	0.3	0.2958	0.24175438596491228	0.35000000000000003	0.2304285714285714	0.16	0.3
Arsenate-Detoxification	0.5846153846153846	0.2099737532808399	0.9759574468085107	0.3323711340206185	0.3512280701754386	0.35914285714285715	0.266	0.5104	0.30608108108108106	0.3512280701754386	0.5104	0.0	0.0	0.30608108108108106	0.45000000000000007	0.36	0.28258178603006195	0.28258178603006195	0.18	0.5547058823529412	0.0	0.2857142857142857	1.5	0.2888888888888889	0.2888888888888889	0.0	0.4898	0.0	0.2857142857142857	0.28258178603006195	0.261038961038961	0.2857142857142857	0.2	0.9	0.7000000000000001	0.3	0.14916795069337443	0.35914285714285715	0.16	0.35914285714285715	0.0	0.25	0.5104	0.3512280701754386	0.7000000000000001	0.35914285714285715	0.14222222222222222	0.25
Ascorbate-Biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ascorbate-Degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Assimilatory-Sulfate-Reduction	0.0	0.05177165354330709	0.3019148936170213	0.13033505154639174	0.128859649122807	0.18792857142857144	0.14	0.0	0.15	0.128859649122807	0.0	0.0	0.0	0.15	0.22500000000000003	0.15	0.0	0.0	0.045	0.115	0.0	0.15	0.5	0.1	0.19166666666666668	0.0	0.26039999999999996	0.0	0.15	0.0	0.14772727272727273	0.15	0.25	0.225	0.0	0.075	0.13935285053929122	0.18792857142857144	0.16	0.18792857142857144	0.0	0.0	0.0	0.128859649122807	0.0	0.18792857142857144	0.044444444444444446	0.0
Autotrophic-CO2-Fixation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.09	0.2570588235294118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0
Auxin-Biosynthesis	0.0	0.15319335083114613	0.7442553191489362	0.0	0.043333333333333335	0.38114285714285706	0.0	0.19333333333333333	0.0	0.043333333333333335	0.19333333333333333	0.0	0.0	0.0	0.4200000000000001	0.16	0.0	0.0	0.06	0.43294117647058833	0.0	0.049999999999999996	0.0	0.48888888888888893	0.13333333333333333	0.0	0.4877333333333333	0.0	0.049999999999999996	0.0	0.10692640692640693	0.049999999999999996	0.13333333333333333	0.3	0.26666666666666666	0.0	0.04666666666666667	0.38114285714285706	0.0	0.38114285714285706	0.5578544061302683	0.0	0.19333333333333333	0.043333333333333335	0.13333333333333333	0.38114285714285706	0.1303703703703704	0.0
BIOTIN-SYN	0.19	0.1	0.0	0.1306701030927835	0.13	0.18	0.14	0.29	0.15202702702702703	0.13	0.29	0.0	0.0	0.15202702702702703	0.0	0.15	0.17	0.17	0.09	0.23	0.0	0.15	0.0	0.0	0.2	0.0	0.31	0.0	0.15	0.17	0.0	0.15	0.2	0.45	0.0	0.15	0.14	0.18	0.16	0.18	0.0	0.0	0.29	0.13	0.0	0.18	0.08	0.0
Benzoate-Degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Benzoyl-CoA-Degradation	0.3069230769230769	0.1	0.4212765957446809	0.257319587628866	0.26	0.34299999999999997	0.28	0.5509999999999999	0.2939189189189189	0.26	0.5509999999999999	0.0	0.0	0.2939189189189189	0.6300000000000001	0.3	0.0	0.0	0.09	0.3382352941176471	0.0	0.2928571428571428	0.5	0.2888888888888889	0.5111111111111111	0.0	0.8927999999999999	0.0	0.2928571428571428	0.0	0.0	0.2928571428571428	0.2	0.45	0.4	0.15	0.2774114021571649	0.34299999999999997	0.23466666666666666	0.34299999999999997	0.0	0.0	0.5509999999999999	0.26	0.0	0.34299999999999997	0.08	0.0
Beta-Alanine-Biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Beta-Alanine-Degradation	0.0	0.0	0.33	0.0	0.0	0.22657142857142856	0.0	0.29	0.15	0.0	0.29	0.0	0.0	0.15	0.27	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.2	0.0	0.0	0.15	0.0	0.22657142857142856	0.0	0.22657142857142856	0.0	0.0	0.29	0.0	0.0	0.22657142857142856	0.0	0.0
Betaine-Biosynthesis	0.0	0.05	0.0	0.13	0.065	0.31999999999999995	0.14	0.29	0.17229729729729729	0.065	0.29	0.0	0.0	0.17229729729729729	0.36	0.0	0.17090185676392575	0.17090185676392575	0.0	0.31117647058823533	0.0	0.15714285714285714	0.0	0.2	0.2	0.0	0.31	0.0	0.15714285714285714	0.17090185676392575	0.20844155844155843	0.15714285714285714	0.2	0.0	0.0	0.3	0.0	0.31999999999999995	0.16	0.31999999999999995	0.26	0.0	0.29	0.065	0.0	0.31999999999999995	0.0	0.0
C1-COMPOUNDS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C40-Carotenoids-Biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
