	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	PFAM_Name	PFAM_desc
pfam00091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Tubulin	Tubulin/FtsZ family, GTPase domain
pfam00092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	VWA	von Willebrand factor type A domain
pfam00106	3.0	1.0	11.0	2.0	1.0	6.0	3.0	3.0	2.0	1.0	3.0	0.0	0.0	2.0	15.0	3.0	1.0	1.0	1.0	6.0	0.0	3.0	6.0	9.0	3.0	0.0	6.0	0.0	3.0	1.0	5.0	3.0	3.0	9.0	3.0	1.0	1.0	6.0	3.0	6.0	10.0	1.0	3.0	1.0	2.0	6.0	1.0	1.0	adh_short	short chain dehydrogenase
pfam00107	1.0	1.0	4.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0	3.0	0.0	0.0	2.0	5.0	2.0	1.0	1.0	1.0	3.0	0.0	2.0	2.0	3.0	2.0	0.0	2.0	0.0	2.0	1.0	1.0	2.0	2.0	2.0	0.0	2.0	1.0	3.0	2.0	3.0	6.0	1.0	3.0	2.0	1.0	3.0	1.0	1.0	ADH_zinc_N	Zinc-binding dehydrogenase
pfam00108	0.0	0.0	2.0	1.0	1.0	2.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	2.0	0.0	2.0	2.0	0.0	1.0	1.0	0.0	2.0	1.0	0.0	Thiolase_N	Thiolase, N-terminal domain
pfam00109	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	ketoacyl-synt	Beta-ketoacyl synthase, N-terminal domain
pfam00111	0.0	0.0	4.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	0.0	3.0	0.0	1.0	0.0	1.0	1.0	2.0	3.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	Fer2	2Fe-2S iron-sulfur cluster binding domain
pfam00113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Enolase_C	Enolase, C-terminal TIM barrel domain
pfam00114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	Pilin	Pilin (bacterial filament)
pfam00115	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	COX1	Cytochrome C and Quinol oxidase polypeptide I
pfam00116	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	COX2	Cytochrome C oxidase subunit II, periplasmic domain
pfam00117	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	0.0	0.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	3.0	1.0	1.0	0.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	2.0	1.0	1.0	1.0	0.0	1.0	GATase	Glutamine amidotransferase class-I
pfam00118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cpn60_TCP1	TCP-1/cpn60 chaperonin family
pfam00119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ATP-synt_A	ATP synthase A chain
pfam00120	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	Gln-synt_C	Glutamine synthetase, catalytic domain
pfam00121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	TIM	Triosephosphate isomerase
pfam00122	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	E1-E2_ATPase	E1-E2 ATPase
pfam00126	1.0	2.0	34.0	9.0	8.0	19.0	12.0	14.0	14.0	8.0	14.0	0.0	0.0	14.0	25.0	12.0	1.0	1.0	2.0	12.0	0.0	10.0	2.0	9.0	6.0	0.0	10.0	0.0	10.0	1.0	8.0	10.0	14.0	1.0	1.0	8.0	7.0	19.0	8.0	19.0	4.0	1.0	14.0	8.0	1.0	19.0	2.0	1.0	HTH_1	Bacterial regulatory helix-turn-helix protein, lysR family
pfam00127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Copper-bind	Copper binding proteins, plastocyanin/azurin family
pfam00128	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	4.0	2.0	1.0	1.0	1.0	1.0	1.0	5.0	2.0	1.0	1.0	1.0	1.0	0.0	2.0	Alpha-amylase	Alpha amylase, catalytic domain
pfam00132	3.0	1.0	6.0	2.0	2.0	3.0	3.0	3.0	3.0	2.0	3.0	0.0	0.0	3.0	4.0	2.0	1.0	1.0	1.0	3.0	0.0	2.0	12.0	3.0	3.0	0.0	4.0	0.0	2.0	1.0	3.0	2.0	3.0	7.0	8.0	2.0	2.0	3.0	2.0	3.0	5.0	1.0	3.0	2.0	1.0	3.0	1.0	1.0	Hexapep	Bacterial transferase hexapeptide (six repeats)
pfam00133	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	tRNA-synt_1	tRNA synthetases class I (I, L, M and V)
pfam00135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	COesterase	Carboxylesterase family
pfam00137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ATP-synt_C	ATP synthase subunit C
pfam00140	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	Sigma70_r1_2	Sigma-70 factor, region 1.2
pfam00141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	peroxidase	Peroxidase
pfam00144	2.0	2.0	1.0	0.0	0.0	1.0	1.0	3.0	1.0	0.0	3.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	4.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	7.0	3.0	0.0	0.0	1.0	0.0	1.0	3.0	0.0	3.0	0.0	0.0	1.0	1.0	0.0	Beta-lactamase	Beta-lactamase
pfam00145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA_methylase	C-5 cytosine-specific DNA methylase
pfam00148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Oxidored_nitro	Nitrogenase component 1 type Oxidoreductase
pfam00149	3.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	0.0	0.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	4.0	2.0	1.0	0.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	Metallophos	Calcineurin-like phosphoesterase
pfam00150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cellulase	Cellulase (glycosyl hydrolase family 5)
pfam00152	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	tRNA-synt_2	tRNA synthetases class II (D, K and N)
