"1- and 2-Methylnaphthalene degradation","Aminophosphonate metabolism","Amyotrophic lateral sclerosis (ALS)","Androgen and estrogen metabolism","Antigen processing and presentation","Apoptosis","Biosynthesis of ansamycins","Biosynthesis of vancomycin group antibiotics","Biotin metabolism","Bisphenol A degradation","Caprolactam degradation","Cyanoamino acid metabolism","Cytokine-cytokine receptor interaction","D-Alanine metabolism","D-Arginine and D-ornithine metabolism","Epithelial cell signaling in Helicobacter pylori infection","Fluorobenzoate degradation","Folate biosynthesis","Inositol metabolism","Insulin signaling pathway","Linoleic acid metabolism","Lipoic acid metabolism","N-Glycan biosynthesis","Neuroactive ligand-receptor interaction","Nucleotide excision repair","Penicillin and cephalosporin biosynthesis","Polyketide sugar unit biosynthesis","Prostate cancer","Protein export","Regulation of actin cytoskeleton","Riboflavin metabolism","Streptomycin biosynthesis","Synthesis and degradation of ketone bodies","Terpenoid biosynthesis","Tetrachloroethene degradation","Tetracycline biosynthesis","Type IV secretion system","Ubiquitin mediated proteolysis","Zeatin biosynthesis","beta-Lactam resistance","interaction"
0,0,0,0,0,0,0.63,0.45,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0.27,0,0.45,0,0,0,0,0.27,0.27,0,0,0.27,0.36,0,0.27,0,2.10799622921893
0,-0.15,0,0,-0.15,0,0.0806756756756758,0.227027027027027,-0.15,-0.15,0,0,0,0,0.45,0,0,-0.15,0,0,0,-0.15,0,0,0.27,0,0.3,0,-0.15,0,0,0.12,0.27,0,0,0.12,0.36,0,0.12,0,6.35580170951689
0,0,0,0,0.15,0,0.545641025641026,0.15,-0.02,0,0,0.15,0,0.15,-0.0207515473032714,-0.17,0,0.15,0,0,0,0.15,0,0,0,0,0.15,-0.17,0.15,0,0.15,0,0,0.15,0.15,-0.02,0,0,-0.02,0,-0.578051602983226
0,0,0,0,0.15,0,0.545641025641026,0.15,-0.02,0,0,0.15,0,0.15,-0.0207515473032714,-0.17,0,0.15,0,0,0,0.15,0,0,0,0,0.15,-0.17,0.15,0,0.15,0,0,0.15,0.15,-0.02,0,0,-0.02,0,-0.361773312425201
0,0,0,0,-0.15,0,-0.545641025641026,-0.15,0.02,0,0,-0.15,0,-0.15,0.0207515473032714,0.17,0,-0.15,0,0,0,-0.15,0,0,0,0,-0.15,0.17,-0.15,0,-0.15,0,0,-0.15,-0.15,0.02,0,0,0.02,0,2.6787866107213
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.89106987771864
0,0,0,0,-0.15,0,-0.545641025641026,-0.15,0.02,0,0,-0.15,0,-0.15,0.0207515473032714,0.17,0,-0.15,0,0,0,-0.15,0,0,0,0,-0.15,0.17,-0.15,0,-0.15,0,0,-0.15,-0.15,0.02,0,0,0.02,0,2.03988894231167
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83071347857213
-0.23,0.09,0.09,0,0,0,-0.404705882352941,-0.305882352941176,-0.23,0,0,0,0,0.09,-0.37,-0.23,0,0.09,0,0,0,-0.23,0,0,-0.23,-0.23,-0.23,0,0,0,0,-0.23,0.1,0,0,-0.09,-0.446470588235294,0,-0.14,0,1.50337184447279
0,0.09,0.09,0,0,0,0.15,0.1,0,0,0,0,0,0.09,0.09,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.14,0,0,0.09,0,-5.23752560580725
0.23,-0.09,-0.09,0,0,0,0.404705882352941,0.305882352941176,0.23,0,0,0,0,-0.09,0.37,0.23,0,-0.09,0,0,0,0.23,0,0,0.23,0.23,0.23,0,0,0,0,0.23,-0.1,0,0,0.09,0.446470588235294,0,0.14,0,0.502246403045728
0.23,0,0,0,0,0,0.554705882352941,0.405882352941176,0.23,0,0,0,0,0,0.46,0.23,0,0,0,0,0,0.23,0,0,0.23,0.23,0.23,0,0,0,0,0.23,0,0,0,0.23,0.446470588235294,0,0.23,0,2.45981471991647
0,-0.09,-0.09,0,0,0,-0.15,-0.1,0,0,0,0,0,-0.09,-0.09,0,0,-0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,-0.14,0,0,-0.09,0,1.48281239741209
-0.23,0,0,0,0,0,-0.554705882352941,-0.405882352941176,-0.23,0,0,0,0,0,-0.46,-0.23,0,0,0,0,0,-0.23,0,0,-0.23,-0.23,-0.23,0,0,0,0,-0.23,0,0,0,-0.23,-0.446470588235294,0,-0.23,0,6.19916155012982
0,0,0,0,-0.342857142857143,0,-0.310714285714286,0.189285714285714,0.15,0,0,0,0,0,0,0,0,0.15,0.15,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0,0,0.15,0,-0.35,0,0,-0.35,0,1.39073729673347
0,0,0,0,-0.0428571428571429,0,0.311507936507936,-0.0107142857142857,0.15,0,-0.2,0,0,0,-0.2,0,-0.2,0.15,0.15,0,0,-0.05,-0.4,0,0,0,-0.05,0,0.15,0,0,0,-0.2,0.15,0,-0.05,0,0,-0.05,0,3.09185648380192
0,0,0,0,0.342857142857143,0,0.310714285714286,-0.189285714285714,-0.15,0,0,0,0,0,0,0,0,-0.15,-0.15,0,0,-0.15,0,0,0,0,-0.15,0,-0.15,0,0,0,0,-0.15,0,0.35,0,0,0.35,0,0.656579975907508
0,0,0,0,0.3,0,0.622222222222222,-0.2,0,0,-0.2,0,0,0,-0.2,0,-0.2,0,0,0,0,-0.2,-0.4,0,0,0,-0.2,0,0,0,0,0,-0.2,0,0,0.3,0,0,0.3,0,-20.6955830438049
0,0,0,0,0.0428571428571429,0,-0.311507936507936,0.0107142857142857,-0.15,0,0.2,0,0,0,0.2,0,0.2,-0.15,-0.15,0,0,0.05,0.4,0,0,0,0.05,0,-0.15,0,0,0,0.2,-0.15,0,0.05,0,0,0.05,0,3.25127574943932
0,0,0,0,-0.3,0,-0.622222222222222,0.2,0,0,0.2,0,0,0,0.2,0,0.2,0,0,0,0,0.2,0.4,0,0,0,0.2,0,0,0,0,0,0.2,0,0,-0.3,0,0,-0.3,0,2.40662568501442
0,0,0,0,0.000670103092783508,0,0.109238560318321,-0.0244176162054621,0,0.13,0,0,0,0,0,-0.0159649122807017,0,0,0,0,0,0,0,0.13,0,0,0.13,0,0,0,-0.13,0,0,0.000670103092783508,0,0,0,0,0.00134020618556702,0,-1.34317778603521
0,-0.18,0,0,-0.0803298969072165,-0.18,0.235977908689249,-0.100758468335788,-0.05,0.13,0,0,0,0,0,-0.05,0,0.13,0,0,0,0.13,0,0.13,-0.18,-0.18,-0.0651428571428571,0,0.13,-0.18,0,0,-0.18,0.130670103092784,0,-0.05,0,-0.18,-0.048659793814433,0,-0.658642353029462
0,0,0,0,-0.000670103092783508,0,-0.109238560318321,0.0244176162054621,0,-0.13,0,0,0,0,0,0.0159649122807017,0,0,0,0,0,0,0,-0.13,0,0,-0.13,0,0,0,0.13,0,0,-0.000670103092783508,0,0,0,0,-0.00134020618556702,0,3.34539165572684
0,-0.18,0,0,-0.081,-0.18,0.126739348370927,-0.0763408521303258,-0.05,0,0,0,0,0,0,-0.0340350877192983,0,0.13,0,0,0,0.13,0,0,-0.18,-0.18,-0.195142857142857,0,0.13,-0.18,0.13,0,-0.18,0.13,0,-0.05,0,-0.18,-0.05,0,-15.6500774779942
0,0.18,0,0,0.0803298969072165,0.18,-0.235977908689249,0.100758468335788,0.05,-0.13,0,0,0,0,0,0.05,0,-0.13,0,0,0,-0.13,0,-0.13,0.18,0.18,0.0651428571428571,0,-0.13,0.18,0,0,0.18,-0.130670103092784,0,0.05,0,0.18,0.048659793814433,0,5.39761027044253
0,0.18,0,0,0.081,0.18,-0.126739348370927,0.0763408521303258,0.05,0,0,0,0,0,0,0.0340350877192983,0,-0.13,0,0,0,-0.13,0,0,0.18,0.18,0.195142857142857,0,-0.13,0.18,-0.13,0,0.18,-0.13,0,0.05,0,0.18,0.05,0,-4.25447754282741
0,0,0,0,-0.3994,0,0.27,-0.1674,-0.15,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0.14,-0.3422,0,0,-0.29,-0.15,0,0.14,0,0.14,0,-0.29,0.14,0,-0.15,-0.3132,0,-0.15,0,-1.88154295299806
0,-0.15,0,0,-0.00999999999999998,0,0.0106756756756757,-0.0829729729729729,-0.00999999999999998,-0.15,0,0,0,0,0.14,0,0,-0.00999999999999998,0,0,0,-0.00999999999999998,0,0,0,0,-0.00999999999999998,0,-0.00999999999999998,0,0.14,-0.15,0,0.14,0,-0.00999999999999998,0,0,-0.00999999999999998,0,-0.753414431243679
0,0,0,0,0.3994,0,-0.27,0.1674,0.15,0,0,0,0,0,-0.14,0,0,-0.14,0,0,0,-0.14,0.3422,0,0,0.29,0.15,0,-0.14,0,-0.14,0,0.29,-0.14,0,0.15,0.3132,0,0.15,0,3.81970349258158
0,-0.15,0,0,0.3894,0,-0.259324324324324,0.0844270270270271,0.14,-0.15,0,0,0,0,0,0,0,-0.15,0,0,0,-0.15,0.3422,0,0,0.29,0.14,0,-0.15,0,0,-0.15,0.29,0,0,0.14,0.3132,0,0.14,0,-1.17748292888258
0,0.15,0,0,0.00999999999999998,0,-0.0106756756756757,0.0829729729729729,0.00999999999999998,0.15,0,0,0,0,-0.14,0,0,0.00999999999999998,0,0,0,0.00999999999999998,0,0,0,0,0.00999999999999998,0,0.00999999999999998,0,-0.14,0.15,0,-0.14,0,0.00999999999999998,0,0,0.00999999999999998,0,3.19078454277991
0,0.15,0,0,-0.3894,0,0.259324324324324,-0.0844270270270271,-0.14,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,-0.3422,0,0,-0.29,-0.14,0,0.15,0,0,0.15,-0.29,0,0,-0.14,-0.3132,0,-0.14,0,2.78260084062939
