"befor 1- and 2-Methylnaphthalene degradation","befor Aminophosphonate metabolism","befor Amyotrophic lateral sclerosis (ALS)","befor Androgen and estrogen metabolism","befor Antigen processing and presentation","befor Apoptosis","befor Biosynthesis of ansamycins","befor Biosynthesis of vancomycin group antibiotics","befor Biotin metabolism","befor Bisphenol A degradation","befor Caprolactam degradation","befor Cyanoamino acid metabolism","befor Cytokine-cytokine receptor interaction","befor D-Alanine metabolism","befor D-Arginine and D-ornithine metabolism","befor Epithelial cell signaling in Helicobacter pylori infection","befor Fluorobenzoate degradation","befor Folate biosynthesis","befor Inositol metabolism","befor Insulin signaling pathway","befor Linoleic acid metabolism","befor Lipoic acid metabolism","befor N-Glycan biosynthesis","befor Neuroactive ligand-receptor interaction","befor Nucleotide excision repair","befor Penicillin and cephalosporin biosynthesis","befor Polyketide sugar unit biosynthesis","befor Prostate cancer","befor Protein export","befor Regulation of actin cytoskeleton","befor Riboflavin metabolism","befor Streptomycin biosynthesis","befor Synthesis and degradation of ketone bodies","befor Terpenoid biosynthesis","befor Tetrachloroethene degradation","befor Tetracycline biosynthesis","befor Type IV secretion system","befor Ubiquitin mediated proteolysis","befor Zeatin biosynthesis","befor beta-Lactam resistance","after 1- and 2-Methylnaphthalene degradation","after Aminophosphonate metabolism","after Amyotrophic lateral sclerosis (ALS)","after Androgen and estrogen metabolism","after Antigen processing and presentation","after Apoptosis","after Biosynthesis of ansamycins","after Biosynthesis of vancomycin group antibiotics","after Biotin metabolism","after Bisphenol A degradation","after Caprolactam degradation","after Cyanoamino acid metabolism","after Cytokine-cytokine receptor interaction","after D-Alanine metabolism","after D-Arginine and D-ornithine metabolism","after Epithelial cell signaling in Helicobacter pylori infection","after Fluorobenzoate degradation","after Folate biosynthesis","after Inositol metabolism","after Insulin signaling pathway","after Linoleic acid metabolism","after Lipoic acid metabolism","after N-Glycan biosynthesis","after Neuroactive ligand-receptor interaction","after Nucleotide excision repair","after Penicillin and cephalosporin biosynthesis","after Polyketide sugar unit biosynthesis","after Prostate cancer","after Protein export","after Regulation of actin cytoskeleton","after Riboflavin metabolism","after Streptomycin biosynthesis","after Synthesis and degradation of ketone bodies","after Terpenoid biosynthesis","after Tetrachloroethene degradation","after Tetracycline biosynthesis","after Type IV secretion system","after Ubiquitin mediated proteolysis","after Zeatin biosynthesis","after beta-Lactam resistance","interaction"
0,0,0,0,0.33,0,1.2568085106383,0.505531914893617,0.33,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.372127659574468,0,0,0,0,0,0.33,0,0,0.33,0,0,0.33,0,0,0.1,0.1,0,0,0,0.186482939632546,0.125459317585302,0.1,0,0,0,0.1,0.1,0.17007874015748,0,0,0,0,0.1,0,0,0.1,0,0,0,0.11496062992126,0,0,0,0,0,0,0,0,0.100262467191601,0.1,0,0.1,0.1,3.25598169690603
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.15,0,0.549324324324324,0.222972972972973,0.15,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0.15,0,0,0.15,0,0.821942114418944
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.45,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0.27,0,0.45,0,0,0,0,0.27,0.27,0,0,0.27,0.36,0,0.27,0,-5.21794612986552
0,0.15,0,0,0.15,0,0.549324324324324,0.222972972972973,0.15,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0.15,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98160194622192
0,0.15,0,0,0.15,0,0.549324324324324,0.222972972972973,0.15,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0.15,0,0,0.15,0,0,0,0,0,0,0,0.63,0.45,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0.27,0,0.45,0,0,0,0,0.27,0.27,0,0,0.27,0.36,0,0.27,0,2.1761993674328
0,0,0,0,0,0,0.63,0.45,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0.27,0,0.45,0,0,0,0,0.27,0.27,0,0,0.27,0.36,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10799628970329
0,0,0,0,0,0,0.63,0.45,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0.27,0,0.45,0,0,0,0,0.27,0.27,0,0,0.27,0.36,0,0.27,0,0,0.15,0,0,0.15,0,0.549324324324324,0.222972972972973,0.15,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0.15,0,0,0.15,0,6.35580226981005
0,0,0,0,0.15,0,0.72,0.15,0.15,0,0,0.15,0,0.15,0.15,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0.15,0,0,0.15,0.15,0.15,0,0,0.15,0,0,0,0,0,0,0,0.174358974358974,0,0.17,0,0,0,0,0,0.170751547303271,0.17,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0.17,0,0,0.17,0,-0.578051673648637
0,0,0,0,0.15,0,0.72,0.15,0.15,0,0,0.15,0,0.15,0.15,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0.15,0,0,0.15,0.15,0.15,0,0,0.15,0,0,0,0,0,0,0,0.174358974358974,0,0.17,0,0,0,0,0,0.170751547303271,0.17,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0.17,0,0,0.17,0,-0.361776234047784
0,0,0,0,0,0,0.174358974358974,0,0.17,0,0,0,0,0,0.170751547303271,0.17,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0.17,0,0,0.17,0,0,0,0,0,0.15,0,0.72,0.15,0.15,0,0,0.15,0,0.15,0.15,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0.15,0,0,0.15,0.15,0.15,0,0,0.15,0,2.67878688145223
0,0,0,0,0,0,0.174358974358974,0,0.17,0,0,0,0,0,0.170751547303271,0.17,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0.17,0,0,0.17,0,0,0,0,0,0,0,0.174358974358974,0,0.17,0,0,0,0,0,0.170751547303271,0.17,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0.17,0,0,0.17,0,-4.89107320889859
0,0,0,0,0,0,0.174358974358974,0,0.17,0,0,0,0,0,0.170751547303271,0.17,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0.17,0,0,0.17,0,0,0,0,0,0.15,0,0.72,0.15,0.15,0,0,0.15,0,0.15,0.15,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0.15,0,0,0.15,0.15,0.15,0,0,0.15,0,2.0398879225959
0,0,0,0,0,0,0.174358974358974,0,0.17,0,0,0,0,0,0.170751547303271,0.17,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0.17,0,0,0.17,0,0,0,0,0,0,0,0.174358974358974,0,0.17,0,0,0,0,0,0.170751547303271,0.17,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0.17,0,0,0.17,0,7.83072244425171
0,0.09,0.09,0,0,0,0.15,0.1,0,0,0,0,0,0.09,0.09,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.14,0,0,0.09,0,0.23,0,0,0,0,0,0.554705882352941,0.405882352941176,0.23,0,0,0,0,0,0.46,0.23,0,0,0,0,0,0.23,0,0,0.23,0.23,0.23,0,0,0,0,0.23,0,0,0,0.23,0.446470588235294,0,0.23,0,1.50336986996324
0,0.09,0.09,0,0,0,0.15,0.1,0,0,0,0,0,0.09,0.09,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.14,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.23760144138468
0.23,0,0,0,0,0,0.554705882352941,0.405882352941176,0.23,0,0,0,0,0,0.46,0.23,0,0,0,0,0,0.23,0,0,0.23,0.23,0.23,0,0,0,0,0.23,0,0,0,0.23,0.446470588235294,0,0.23,0,0,0.09,0.09,0,0,0,0.15,0.1,0,0,0,0,0,0.09,0.09,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.14,0,0,0.09,0,0.502238801107552
0.23,0,0,0,0,0,0.554705882352941,0.405882352941176,0.23,0,0,0,0,0,0.46,0.23,0,0,0,0,0,0.23,0,0,0.23,0.23,0.23,0,0,0,0,0.23,0,0,0,0.23,0.446470588235294,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45986504001053
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.09,0,0,0,0.15,0.1,0,0,0,0,0,0.09,0.09,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.14,0,0,0.09,0,1.48282268958521
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0.554705882352941,0.405882352941176,0.23,0,0,0,0,0,0.46,0.23,0,0,0,0,0,0.23,0,0,0.23,0.23,0.23,0,0,0,0,0.23,0,0,0,0.23,0.446470588235294,0,0.23,0,6.19914949017777
0,0,0,0,0.157142857142857,0,0.689285714285714,0.189285714285714,0.15,0,0,0,0,0,0,0,0,0.15,0.15,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,1.39073730104222
0,0,0,0,0.157142857142857,0,0.689285714285714,0.189285714285714,0.15,0,0,0,0,0,0,0,0,0.15,0.15,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0,0,0.2,0,0.377777777777778,0.2,0,0,0.2,0,0,0,0.2,0,0.2,0,0,0,0,0.2,0.4,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0.2,0,0,0.2,0,3.09185675824381
0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0.157142857142857,0,0.689285714285714,0.189285714285714,0.15,0,0,0,0,0,0,0,0,0.15,0.15,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0.656583894848103
0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0.2,0,0.377777777777778,0.2,0,0,0.2,0,0,0,0.2,0,0.2,0,0,0,0,0.2,0.4,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0.2,0,0,0.2,0,-20.6956424956593
0,0,0,0,0.2,0,0.377777777777778,0.2,0,0,0.2,0,0,0,0.2,0,0.2,0,0,0,0,0.2,0.4,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0.2,0,0,0.2,0,0,0,0,0,0.157142857142857,0,0.689285714285714,0.189285714285714,0.15,0,0,0,0,0,0,0,0,0.15,0.15,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,3.25127575796067
0,0,0,0,0.2,0,0.377777777777778,0.2,0,0,0.2,0,0,0,0.2,0,0.2,0,0,0,0,0.2,0.4,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0.2,0,0,0.2,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,2.40662569374245
0,0,0,0,0.130670103092784,0,0.617835051546392,0.130670103092784,0.13,0.13,0,0,0,0,0,0.13,0,0.13,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0,0,0.130670103092784,0,0.13,0,0,0.131340206185567,0,0,0,0,0,0.13,0,0.50859649122807,0.155087719298246,0.13,0,0,0,0,0,0,0.145964912280702,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0.13,0,-1.34317766406686
0,0,0,0,0.130670103092784,0,0.617835051546392,0.130670103092784,0.13,0.13,0,0,0,0,0,0.13,0,0.13,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0,0,0.130670103092784,0,0.13,0,0,0.131340206185567,0,0,0.18,0,0,0.211,0.18,0.381857142857143,0.231428571428571,0.18,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0.18,0.18,0.195142857142857,0,0,0.18,0,0,0.18,0,0,0.18,0,0.18,0.18,0,-0.658641922839736
0,0,0,0,0.13,0,0.50859649122807,0.155087719298246,0.13,0,0,0,0,0,0,0.145964912280702,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0.13,0,0,0,0,0,0.130670103092784,0,0.617835051546392,0.130670103092784,0.13,0.13,0,0,0,0,0,0.13,0,0.13,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0,0,0.130670103092784,0,0.13,0,0,0.131340206185567,0,3.34539182426572
0,0,0,0,0.13,0,0.50859649122807,0.155087719298246,0.13,0,0,0,0,0,0,0.145964912280702,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0.13,0,0,0.18,0,0,0.211,0.18,0.381857142857143,0.231428571428571,0.18,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0.18,0.18,0.195142857142857,0,0,0.18,0,0,0.18,0,0,0.18,0,0.18,0.18,0,-15.6500859281764
0,0.18,0,0,0.211,0.18,0.381857142857143,0.231428571428571,0.18,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0.18,0.18,0.195142857142857,0,0,0.18,0,0,0.18,0,0,0.18,0,0.18,0.18,0,0,0,0,0,0.130670103092784,0,0.617835051546392,0.130670103092784,0.13,0.13,0,0,0,0,0,0.13,0,0.13,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0,0,0.130670103092784,0,0.13,0,0,0.131340206185567,0,5.3977738324806
0,0.18,0,0,0.211,0.18,0.381857142857143,0.231428571428571,0.18,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0.18,0.18,0.195142857142857,0,0,0.18,0,0,0.18,0,0,0.18,0,0.18,0.18,0,0,0,0,0,0.13,0,0.50859649122807,0.155087719298246,0.13,0,0,0,0,0,0,0.145964912280702,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0.13,0,-4.25578749393192
0,0,0,0,0.14,0,0.56,0.14,0.14,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0.14,0,0,0,0,0.14,0,0.14,0,0.14,0,0,0.14,0,0.14,0,0,0.14,0,0,0,0,0,0.5394,0,0.29,0.3074,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3422,0,0,0.29,0.29,0,0,0,0,0,0.29,0,0,0.29,0.3132,0,0.29,0,-1.88154311152518
0,0,0,0,0.14,0,0.56,0.14,0.14,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0.14,0,0,0,0,0.14,0,0.14,0,0.14,0,0,0.14,0,0.14,0,0,0.14,0,0,0.15,0,0,0.15,0,0.549324324324324,0.222972972972973,0.15,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0.15,0,0,0.15,0,-0.753414163307682
0,0,0,0,0.5394,0,0.29,0.3074,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3422,0,0,0.29,0.29,0,0,0,0,0,0.29,0,0,0.29,0.3132,0,0.29,0,0,0,0,0,0.14,0,0.56,0.14,0.14,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0.14,0,0,0,0,0.14,0,0.14,0,0.14,0,0,0.14,0,0.14,0,0,0.14,0,3.81970353308125
0,0,0,0,0.5394,0,0.29,0.3074,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3422,0,0,0.29,0.29,0,0,0,0,0,0.29,0,0,0.29,0.3132,0,0.29,0,0,0.15,0,0,0.15,0,0.549324324324324,0.222972972972973,0.15,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0.15,0,0,0.15,0,-1.1774836680722
0,0.15,0,0,0.15,0,0.549324324324324,0.222972972972973,0.15,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0.15,0,0,0.15,0,0,0,0,0,0.14,0,0.56,0.14,0.14,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0.14,0,0,0,0,0.14,0,0.14,0,0.14,0,0,0.14,0,0.14,0,0,0.14,0,3.19078393261217
0,0.15,0,0,0.15,0,0.549324324324324,0.222972972972973,0.15,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0.15,0,0,0.15,0,0,0,0,0,0.5394,0,0.29,0.3074,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3422,0,0,0.29,0.29,0,0,0,0,0,0.29,0,0,0.29,0.3132,0,0.29,0,2.78260187237733
